word,concreteness,predicted,fold,k,weighting,embedding
غروب,4.444444444,3.4950663838633207,1,20,distance,ar_gpt2_sent.vec
معلومة,2.111111111,2.5117695754428264,1,20,distance,ar_gpt2_sent.vec
بلوغ,3.055555556,2.4348026290176197,1,20,distance,ar_gpt2_sent.vec
طبيبة,4.444444444,3.763186379242393,1,20,distance,ar_gpt2_sent.vec
عاملة,4.277777778,3.766627195417437,1,20,distance,ar_gpt2_sent.vec
قفاز,4.611111111,4.697771299331561,1,20,distance,ar_gpt2_sent.vec
جبل,4.777777778,3.71355958579444,1,20,distance,ar_gpt2_sent.vec
حج,3.176470588,3.47508635281183,1,20,distance,ar_gpt2_sent.vec
شماعة,4.571428571,4.251958699898881,1,20,distance,ar_gpt2_sent.vec
إعجاب,2.055555556,2.262252509419761,1,20,distance,ar_gpt2_sent.vec
شيطان,2.555555556,3.78707371667324,1,20,distance,ar_gpt2_sent.vec
دولة,3.277777778,3.483391395726936,1,20,distance,ar_gpt2_sent.vec
شرطية,4.444444444,3.4274134231305755,1,20,distance,ar_gpt2_sent.vec
بلدة,3.555555556,3.7237216734267764,1,20,distance,ar_gpt2_sent.vec
تسامح,1.555555556,1.9112547169042375,1,20,distance,ar_gpt2_sent.vec
عري,3.333333333,3.385080981353487,1,20,distance,ar_gpt2_sent.vec
شِعر,3.555555556,3.2944444444,1,20,distance,ar_gpt2_sent.vec
سجن,4.333333333,3.28127968404471,1,20,distance,ar_gpt2_sent.vec
جماع,3.882352941,3.5393306097682244,1,20,distance,ar_gpt2_sent.vec
مبنى,4.777777778,3.95819707128896,1,20,distance,ar_gpt2_sent.vec
معلمة,4.5,3.956575409682114,1,20,distance,ar_gpt2_sent.vec
تقاليد,1.722222222,1.8444234317449881,1,20,distance,ar_gpt2_sent.vec
إلحاد,1.388888889,2.2220239806734625,1,20,distance,ar_gpt2_sent.vec
موظف,4.444444444,4.2038388759139735,1,20,distance,ar_gpt2_sent.vec
صحراء,4.555555556,3.5084724455943586,1,20,distance,ar_gpt2_sent.vec
احتفال,3.0,3.2302819391531834,1,20,distance,ar_gpt2_sent.vec
فندق,4.555555556,4.387303691061373,1,20,distance,ar_gpt2_sent.vec
مثالية,1.388888889,2.2257903703813278,1,20,distance,ar_gpt2_sent.vec
مؤامرة,1.722222222,3.3177733348354748,1,20,distance,ar_gpt2_sent.vec
رقابة,2.111111111,2.7235504194995364,1,20,distance,ar_gpt2_sent.vec
قداسة,1.411764706,2.256193232299998,1,20,distance,ar_gpt2_sent.vec
حمار,4.944444444,4.338316446667402,1,20,distance,ar_gpt2_sent.vec
حذاء,4.833333333,4.5888223352842745,1,20,distance,ar_gpt2_sent.vec
جمال,2.055555556,3.124416935941471,1,20,distance,ar_gpt2_sent.vec
امرأة,4.666666667,4.395013165213039,1,20,distance,ar_gpt2_sent.vec
موز,4.888888889,4.477711179071917,1,20,distance,ar_gpt2_sent.vec
طفل,4.555555556,4.1933690972248305,1,20,distance,ar_gpt2_sent.vec
سيارة,4.888888889,4.436586255603878,1,20,distance,ar_gpt2_sent.vec
مال,4.833333333,3.256496976456379,1,20,distance,ar_gpt2_sent.vec
جارة,4.0,3.9405935963869094,1,20,distance,ar_gpt2_sent.vec
مدرسة,4.5,4.087946587267973,1,20,distance,ar_gpt2_sent.vec
نقاء,2.125,2.1906991378666625,2,20,distance,ar_gpt2_sent.vec
تاكسي,4.764705882,4.484055485410157,2,20,distance,ar_gpt2_sent.vec
مسؤولية,1.666666667,2.717686729096484,2,20,distance,ar_gpt2_sent.vec
إعلام,2.444444444,2.948914840404614,2,20,distance,ar_gpt2_sent.vec
كرم,1.777777778,2.508570031799751,2,20,distance,ar_gpt2_sent.vec
تبني,2.388888889,3.233720358587841,2,20,distance,ar_gpt2_sent.vec
قدر,1.277777778,3.462557848578225,2,20,distance,ar_gpt2_sent.vec
اعتقاد,1.277777778,2.3477820105522618,2,20,distance,ar_gpt2_sent.vec
حكمة,1.611111111,2.149185586328707,2,20,distance,ar_gpt2_sent.vec
الله,2.666666667,3.1716912601919365,2,20,distance,ar_gpt2_sent.vec
يوم,2.388888889,3.741110868670719,2,20,distance,ar_gpt2_sent.vec
عائلة,3.833333333,3.985678325814737,2,20,distance,ar_gpt2_sent.vec
إصبع,4.777777778,4.3480307337520685,2,20,distance,ar_gpt2_sent.vec
مفهوم,1.555555556,2.644481905144959,2,20,distance,ar_gpt2_sent.vec
غابة,4.5,3.871053508234465,2,20,distance,ar_gpt2_sent.vec
نجاسة,2.588235294,3.2307148641167975,2,20,distance,ar_gpt2_sent.vec
أغنية,4.277777778,4.053592769108047,2,20,distance,ar_gpt2_sent.vec
شجاعة,1.666666667,2.1926203477247976,2,20,distance,ar_gpt2_sent.vec
مقبرة,4.5,3.3780257502195647,2,20,distance,ar_gpt2_sent.vec
سعادة,2.055555556,2.3097812607608947,2,20,distance,ar_gpt2_sent.vec
نافذة,4.777777778,4.138193001921264,2,20,distance,ar_gpt2_sent.vec
عدالة,1.5,2.214496945892644,2,20,distance,ar_gpt2_sent.vec
فراشة,4.944444444,4.358271274412993,2,20,distance,ar_gpt2_sent.vec
أريكة,4.8125,4.427404215296844,2,20,distance,ar_gpt2_sent.vec
نسر,4.722222222,4.216400553204827,2,20,distance,ar_gpt2_sent.vec
شروق,4.055555556,3.5360408433795945,2,20,distance,ar_gpt2_sent.vec
فكرة,1.388888889,2.975166619060344,2,20,distance,ar_gpt2_sent.vec
الكحول,4.705882353,3.617993458033953,2,20,distance,ar_gpt2_sent.vec
غيرة,1.611111111,2.51505566141187,2,20,distance,ar_gpt2_sent.vec
طالب,4.333333333,4.1891439602066916,2,20,distance,ar_gpt2_sent.vec
خصوصية,1.611111111,2.3965652987049224,2,20,distance,ar_gpt2_sent.vec
مدير,4.333333333,3.813289882796196,2,20,distance,ar_gpt2_sent.vec
الناس,4.166666667,3.0704787462138237,2,20,distance,ar_gpt2_sent.vec
طائر,4.777777778,4.29059665459935,2,20,distance,ar_gpt2_sent.vec
حياة,2.166666667,2.877114605907907,2,20,distance,ar_gpt2_sent.vec
عنكبوت,4.666666667,4.3526514986749545,2,20,distance,ar_gpt2_sent.vec
شرف,1.277777778,2.315733524244788,2,20,distance,ar_gpt2_sent.vec
لحية,5.0,4.263681750664242,2,20,distance,ar_gpt2_sent.vec
ضيافة,2.166666667,3.471510924348288,2,20,distance,ar_gpt2_sent.vec
عقيدة,1.388888889,2.142889500526201,2,20,distance,ar_gpt2_sent.vec
عقل,3.055555556,3.173565851175784,2,20,distance,ar_gpt2_sent.vec
مجاعة,3.166666667,3.145735479618742,3,20,distance,ar_gpt2_sent.vec
عدوى,3.055555556,3.768290278531528,3,20,distance,ar_gpt2_sent.vec
أخلاق,1.555555556,1.918715654369812,3,20,distance,ar_gpt2_sent.vec
مساعد,3.117647059,4.130981388372105,3,20,distance,ar_gpt2_sent.vec
تشجيع,2.111111111,2.4146616598430675,3,20,distance,ar_gpt2_sent.vec
كمبيوتر,4.944444444,4.29300674106639,3,20,distance,ar_gpt2_sent.vec
زواج,3.333333333,3.1282676448732083,3,20,distance,ar_gpt2_sent.vec
مكنسة,4.823529412,4.63950002809845,3,20,distance,ar_gpt2_sent.vec
ختان,3.470588235,3.4097315708142304,3,20,distance,ar_gpt2_sent.vec
شرطي,4.666666667,4.308717624547452,3,20,distance,ar_gpt2_sent.vec
تضخم,2.647058824,3.4956350608635933,3,20,distance,ar_gpt2_sent.vec
كلب,4.944444444,4.509069129010213,3,20,distance,ar_gpt2_sent.vec
زوجة,4.111111111,3.7473472324565185,3,20,distance,ar_gpt2_sent.vec
جثة,4.611111111,4.1458875020551025,3,20,distance,ar_gpt2_sent.vec
أم,4.444444444,3.526180395118042,3,20,distance,ar_gpt2_sent.vec
ولد,4.111111111,3.7605865510681302,3,20,distance,ar_gpt2_sent.vec
بيروقراطية,1.823529412,2.6515374213579417,3,20,distance,ar_gpt2_sent.vec
معبد,4.055555556,3.2733088861409896,3,20,distance,ar_gpt2_sent.vec
قميص,4.777777778,4.561700262189941,3,20,distance,ar_gpt2_sent.vec
عروس,4.388888889,3.9245217263296417,3,20,distance,ar_gpt2_sent.vec
ملحد,2.166666667,2.473140442533736,3,20,distance,ar_gpt2_sent.vec
صدق,1.722222222,1.8189278751684843,3,20,distance,ar_gpt2_sent.vec
تفاحة,4.611111111,4.5564158837475945,3,20,distance,ar_gpt2_sent.vec
مجتمع,2.055555556,2.8717022897782694,3,20,distance,ar_gpt2_sent.vec
ابنة,4.166666667,3.9548723776954593,3,20,distance,ar_gpt2_sent.vec
مرض,2.944444444,3.7233431928403022,3,20,distance,ar_gpt2_sent.vec
رجل,4.555555556,4.000898227739372,3,20,distance,ar_gpt2_sent.vec
صحيفة,4.555555556,3.980940041643371,3,20,distance,ar_gpt2_sent.vec
دواء,4.611111111,4.053087369337675,3,20,distance,ar_gpt2_sent.vec
مناخ,3.0,3.240847389677422,3,20,distance,ar_gpt2_sent.vec
تعصب,1.666666667,2.83444931873137,3,20,distance,ar_gpt2_sent.vec
ألم,3.333333333,3.470787202069883,3,20,distance,ar_gpt2_sent.vec
طائرة,4.888888889,4.211595455949552,3,20,distance,ar_gpt2_sent.vec
تقدير,1.333333333,2.0972459687250664,3,20,distance,ar_gpt2_sent.vec
بنت,4.555555556,3.772314838782515,3,20,distance,ar_gpt2_sent.vec
برنامج,3.444444444,3.1957394432100434,3,20,distance,ar_gpt2_sent.vec
نعمة,1.777777778,2.304682903078358,3,20,distance,ar_gpt2_sent.vec
دم,4.944444444,3.3375849962961404,3,20,distance,ar_gpt2_sent.vec
غسيل,4.444444444,3.749941537835204,3,20,distance,ar_gpt2_sent.vec
شمس,4.833333333,3.8083459675329796,3,20,distance,ar_gpt2_sent.vec
عين,4.777777778,3.9408408267978583,4,20,distance,ar_gpt2_sent.vec
وطن,2.055555556,2.9017831466331683,4,20,distance,ar_gpt2_sent.vec
مسجد,4.722222222,4.0088775894285975,4,20,distance,ar_gpt2_sent.vec
برق,4.666666667,4.335266720137967,4,20,distance,ar_gpt2_sent.vec
مكتب,5.0,4.360889363408895,4,20,distance,ar_gpt2_sent.vec
عبادة,2.5,2.590385575465279,4,20,distance,ar_gpt2_sent.vec
طالبة,4.444444444,4.085236988402374,4,20,distance,ar_gpt2_sent.vec
شعر,4.277777778,3.6069367836802932,4,20,distance,ar_gpt2_sent.vec
مكتبة,4.666666667,4.364839441979974,4,20,distance,ar_gpt2_sent.vec
طفولة,2.388888889,3.5979093654445284,4,20,distance,ar_gpt2_sent.vec
شجرة,4.722222222,4.573675601428937,4,20,distance,ar_gpt2_sent.vec
طبيب,4.611111111,4.226746007825684,4,20,distance,ar_gpt2_sent.vec
ابن,4.055555556,4.121055528408784,4,20,distance,ar_gpt2_sent.vec
موظفة,4.5,4.246876900491986,4,20,distance,ar_gpt2_sent.vec
حكومة,3.388888889,3.2477704161010155,4,20,distance,ar_gpt2_sent.vec
ميزانية,2.555555556,2.965530817001899,4,20,distance,ar_gpt2_sent.vec
مغفرة,1.888888889,2.307734616706869,4,20,distance,ar_gpt2_sent.vec
خير,1.722222222,2.8058376068414685,4,20,distance,ar_gpt2_sent.vec
سلة,4.833333333,4.306742547001352,4,20,distance,ar_gpt2_sent.vec
منطقة,3.333333333,3.9526218945617413,4,20,distance,ar_gpt2_sent.vec
إجهاض,3.444444444,4.005505549879111,4,20,distance,ar_gpt2_sent.vec
فلاح,4.555555556,4.185621295765829,4,20,distance,ar_gpt2_sent.vec
ثقافة,1.444444444,1.972468710486032,4,20,distance,ar_gpt2_sent.vec
سفير,4.222222222,3.644800495389614,4,20,distance,ar_gpt2_sent.vec
قبعة,4.944444444,4.567893521254337,4,20,distance,ar_gpt2_sent.vec
أخبار,3.0,3.1565871063594395,4,20,distance,ar_gpt2_sent.vec
طاعة,1.611111111,2.0165234774600194,4,20,distance,ar_gpt2_sent.vec
تذكرة,4.5,3.837960254981369,4,20,distance,ar_gpt2_sent.vec
فساد,1.722222222,2.551600279606107,4,20,distance,ar_gpt2_sent.vec
سفارة,4.111111111,3.2711186405473205,4,20,distance,ar_gpt2_sent.vec
صداقة,1.666666667,2.406238498421957,4,20,distance,ar_gpt2_sent.vec
جهنم,2.277777778,3.2835037383705075,4,20,distance,ar_gpt2_sent.vec
حظ,1.5,2.5432567217132163,4,20,distance,ar_gpt2_sent.vec
إنسانية,1.666666667,2.5669262237156905,4,20,distance,ar_gpt2_sent.vec
مصافحة,4.333333333,3.745377636047983,4,20,distance,ar_gpt2_sent.vec
زجاجة,4.833333333,4.452064024712517,4,20,distance,ar_gpt2_sent.vec
حضارة,1.833333333,2.705523108065929,4,20,distance,ar_gpt2_sent.vec
جار,3.888888889,3.9400519548678155,4,20,distance,ar_gpt2_sent.vec
ولادة,4.166666667,3.2510500241434244,4,20,distance,ar_gpt2_sent.vec
تعليم,2.388888889,2.9950451992249087,4,20,distance,ar_gpt2_sent.vec
مصباح,4.388888889,4.33774071414441,5,20,distance,ar_gpt2_sent.vec
حرية,1.722222222,2.172556038261295,5,20,distance,ar_gpt2_sent.vec
مفارقة,1.588235294,2.4659435833386047,5,20,distance,ar_gpt2_sent.vec
جنين,4.555555556,4.1154793481917515,5,20,distance,ar_gpt2_sent.vec
قهوة,4.944444444,4.3560213320359535,5,20,distance,ar_gpt2_sent.vec
إذلال,2.0,2.6456271956918287,5,20,distance,ar_gpt2_sent.vec
"
تسوق",3.444444444,3.33333333335,5,20,distance,ar_gpt2_sent.vec
زوج,4.0,4.3164021403017685,5,20,distance,ar_gpt2_sent.vec
تواضع,1.5,1.9027344269674835,5,20,distance,ar_gpt2_sent.vec
قطاع,2.111111111,3.8162747445378273,5,20,distance,ar_gpt2_sent.vec
مخ,4.277777778,4.060167898610671,5,20,distance,ar_gpt2_sent.vec
دفء,3.277777778,3.632282324043515,5,20,distance,ar_gpt2_sent.vec
أثاث,4.722222222,4.485176905635812,5,20,distance,ar_gpt2_sent.vec
وفاء,1.444444444,2.0363027747515283,5,20,distance,ar_gpt2_sent.vec
إيمان,2.055555556,1.9373721056116302,5,20,distance,ar_gpt2_sent.vec
جنة,2.722222222,3.090062906018732,5,20,distance,ar_gpt2_sent.vec
معلم,4.444444444,4.0059208294269615,5,20,distance,ar_gpt2_sent.vec
حد,2.066666667,3.217608770410938,5,20,distance,ar_gpt2_sent.vec
حبيب,3.388888889,3.192600285005584,5,20,distance,ar_gpt2_sent.vec
قطة,4.888888889,4.654768015672526,5,20,distance,ar_gpt2_sent.vec
كرة,4.833333333,4.429489578028383,5,20,distance,ar_gpt2_sent.vec
طاولة,4.833333333,4.608568476570337,5,20,distance,ar_gpt2_sent.vec
منتج,3.944444444,3.8757069496046817,5,20,distance,ar_gpt2_sent.vec
غزو,2.444444444,3.2046932108831236,5,20,distance,ar_gpt2_sent.vec
ديمقراطية,1.722222222,2.430591389969017,5,20,distance,ar_gpt2_sent.vec
خلود,1.555555556,3.281638232244884,5,20,distance,ar_gpt2_sent.vec
تكاثر,3.222222222,2.9215427114940242,5,20,distance,ar_gpt2_sent.vec
كوب,4.944444444,4.579305877118724,5,20,distance,ar_gpt2_sent.vec
زفاف,4.166666667,3.7438810158484617,5,20,distance,ar_gpt2_sent.vec
غرفة,4.722222222,4.332629140239977,5,20,distance,ar_gpt2_sent.vec
روحانية,1.277777778,2.0169965461274226,5,20,distance,ar_gpt2_sent.vec
قبول,1.5,2.123273767876051,5,20,distance,ar_gpt2_sent.vec
أب,4.111111111,3.985796823670585,5,20,distance,ar_gpt2_sent.vec
سائق,4.5,4.560440368302376,5,20,distance,ar_gpt2_sent.vec
صدر,4.666666667,3.7981687498746366,5,20,distance,ar_gpt2_sent.vec
كنيسة,4.555555556,3.6974675007254416,5,20,distance,ar_gpt2_sent.vec
هدية,3.944444444,2.7585853527825304,5,20,distance,ar_gpt2_sent.vec
حادثة,4.055555556,3.2341467519151204,5,20,distance,ar_gpt2_sent.vec
عامل,4.388888889,4.138081618077573,5,20,distance,ar_gpt2_sent.vec
نيّة,1.888888889,3.33333333335,5,20,distance,ar_gpt2_sent.vec
